"accel_x","accel_y","accel_z","mag_x","mag_y","mag_z","gyro_x","gyro_y","gyro_z","t","h","time"
"-0.0","-0.29","10.31","-0.0","-0.29","10.31","1.0859","-0.0781","0.6875","18.5","53.0","2019-10-02T21:34:57"
"-0.03","-0.28","10.32","-0.03","-0.28","10.32","0.9297","0.3438","0.6875","18.5","52.9","2019-10-02T21:35:07"
"0.0","-0.29","10.32","0.0","-0.29","10.32","0.9453","0.0625","0.6719","18.5","52.9","2019-10-02T21:35:17"
"-0.01","-0.3","10.33","-0.01","-0.3","10.33","1.3203","0.4219","0.8125","18.5","53.0","2019-10-02T21:35:27"
"-0.01","-0.28","10.31","-0.01","-0.28","10.31","0.7578","0.25","0.4844","18.5","52.9","2019-10-02T21:35:38"
"-0.03","-0.27","10.31","-0.03","-0.27","10.31","0.8828","-0.125","0.7734","18.5","52.9","2019-10-02T21:35:48"
"-0.04","-0.31","10.31","-0.04","-0.31","10.31","1.0156","0.2734","0.6016","18.5","53.0","2019-10-02T21:35:58"
"-0.01","-0.29","10.33","-0.01","-0.29","10.33","0.9062","0.0859","0.7422","18.5","52.8","2019-10-02T21:36:08"
"-0.01","-0.28","10.33","-0.01","-0.28","10.33","0.7031","-0.3516","0.6172","18.5","52.9","2019-10-02T21:36:18"
"-0.01","-0.29","10.31","-0.01","-0.29","10.31","1.1484","0.0859","0.6953","18.5","52.8","2019-10-02T21:36:28"
"-0.02","-0.3","10.32","-0.02","-0.3","10.32","0.5938","0.1406","0.6875","18.5","52.7","2019-10-02T21:36:38"
"-0.03","-0.29","10.31","-0.03","-0.29","10.31","0.6094","0.3672","0.3438","18.5","52.9","2019-10-02T21:36:48"
"-0.01","-0.29","10.33","-0.01","-0.29","10.33","0.7812","0.2266","0.3438","18.5","53.0","2019-10-02T21:36:58"
"-0.04","-0.3","10.31","-0.04","-0.3","10.31","0.7969","0.0469","0.6875","18.5","52.9","2019-10-02T21:37:09"
"-0.0","-0.28","10.33","-0.0","-0.28","10.33","0.5938","0.0938","0.7109","18.5","52.9","2019-10-02T21:37:19"
"-0.01","-0.31","10.33","-0.01","-0.31","10.33","0.7734","-0.0703","0.5234","18.5","52.8","2019-10-02T21:37:29"
"0.01","-0.29","10.33","0.01","-0.29","10.33","0.9219","-0.3828","0.5781","18.5","52.9","2019-10-02T21:37:39"
"-0.01","-0.3","10.32","-0.01","-0.3","10.32","0.6172","0.0156","0.7422","18.5","52.9","2019-10-02T21:37:49"
"-0.01","-0.3","10.29","-0.01","-0.3","10.29","1.1328","0.0234","0.7891","18.5","53.0","2019-10-02T21:37:59"
"-0.02","-0.29","10.32","-0.02","-0.29","10.32","0.5781","0.2578","0.7188","18.5","52.9","2019-10-02T21:38:09"
"0.01","-0.29","10.31","0.01","-0.29","10.31","1.0078","-0.0938","0.7344","18.5","52.9","2019-10-02T21:38:19"
"-0.0","-0.28","10.32","-0.0","-0.28","10.32","1.0703","0.0391","0.5547","18.5","52.9","2019-10-02T21:38:30"
"-0.03","-0.28","10.3","-0.03","-0.28","10.3","0.9141","0.1328","0.5391","18.5","53.1","2019-10-02T21:38:40"
"0.0","-0.28","10.31","0.0","-0.28","10.31","1.0391","0.1094","0.6719","18.5","52.9","2019-10-02T21:38:50"
"-0.02","-0.3","10.3","-0.02","-0.3","10.3","0.5","0.0156","0.6953","18.5","52.9","2019-10-02T21:39:00"
"-0.03","-0.29","10.3","-0.03","-0.29","10.3","0.8594","-0.1719","0.8047","18.5","52.8","2019-10-02T21:39:10"
"-0.0","-0.29","10.31","-0.0","-0.29","10.31","1.2578","0.25","0.5156","18.5","52.8","2019-10-02T21:39:20"
"-0.04","-0.29","10.32","-0.04","-0.29","10.32","1.1172","0.2344","0.8125","18.5","52.8","2019-10-02T21:39:30"
"-0.0","-0.29","10.32","-0.0","-0.29","10.32","0.8125","-0.2891","0.4609","18.5","52.8","2019-10-02T21:39:40"
"-0.01","-0.28","10.32","-0.01","-0.28","10.32","0.7031","0.0156","0.4922","18.5","52.8","2019-10-02T21:39:50"
"-0.05","-0.28","10.31","-0.05","-0.28","10.31","0.8359","0.1406","0.4609","18.5","52.8","2019-10-02T21:40:01"
"-0.02","-0.29","10.32","-0.02","-0.29","10.32","1.1094","0.4688","0.9375","18.5","53.0","2019-10-02T21:40:11"
"-0.01","-0.29","10.29","-0.01","-0.29","10.29","1.3125","0.25","0.5859","18.5","52.9","2019-10-02T21:40:21"
"-0.02","-0.28","10.33","-0.02","-0.28","10.33","0.7812","0.1094","0.8984","18.5","52.8","2019-10-02T21:40:31"
"-0.03","-0.28","10.32","-0.03","-0.28","10.32","0.4688","0.0156","0.3984","18.5","52.9","2019-10-02T21:40:41"
"-0.0","-0.28","10.3","-0.0","-0.28","10.3","1.2266","0.2344","0.875","18.5","52.9","2019-10-02T21:40:51"
