"2019-09-21 01:17:16.982508","('accel_x', 'accel_y', 'accel_z', 'mag_x', 'mag_y', 'mag_z')","('gyro_x', 'gyro_y', 'gyro_z')","('t', 'h')"
"(-0.14356935599999998, 4.273581163599999, -8.111668614, 30.400000000000002, -27.700000000000003, 46.300000000000004)","(0.90625, 0.0234375, 0.4609375)","(22.943846799420157, 52.26256429040185)"
"(-0.1339980656, 4.2568314054, -8.123632727, 31.400000000000002, -26.900000000000002, 44.2)","(0.234375, -0.171875, 0.4296875)","(22.927824826428633, 52.24272392900203)"
"(-0.4163511324, 4.3142591478, -8.104490146199998, 29.8, -26.6, 44.7)","(0.09375, -0.46875, 0.4765625)","(22.91447318226902, 52.24272392900203)"
"(-0.40917266459999996, 4.2879380992, -8.097311678399999, 30.3, -27.1, 45.900000000000006)","(0.5703125, -0.046875, 0.28125)","(22.91447318226902, 52.20762175114082)"
