"2019-09-21 01:17:16.982508","('accel_x', 'accel_y', 'accel_z', 'mag_x', 'mag_y', 'mag_z')","('gyro_x', 'gyro_y', 'gyro_z')","('t', 'h')","2019-09-21 01:17:27.298261","('accel_x', 'accel_y', 'accel_z', 'mag_x', 'mag_y', 'mag_z')","('gyro_x', 'gyro_y', 'gyro_z')","('t', 'h')","2019-09-21 01:17:37.642466","('accel_x', 'accel_y', 'accel_z', 'mag_x', 'mag_y', 'mag_z')","('gyro_x', 'gyro_y', 'gyro_z')","('t', 'h')","2019-09-21 01:17:48.017482","('accel_x', 'accel_y', 'accel_z', 'mag_x', 'mag_y', 'mag_z')","('gyro_x', 'gyro_y', 'gyro_z')","('t', 'h')","2019-09-21 01:17:58.383381","('accel_x', 'accel_y', 'accel_z', 'mag_x', 'mag_y', 'mag_z')","('gyro_x', 'gyro_y', 'gyro_z')","('t', 'h')","2019-09-21 01:18:08.741476","('accel_x', 'accel_y', 'accel_z', 'mag_x', 'mag_y', 'mag_z')","('gyro_x', 'gyro_y', 'gyro_z')","('t', 'h')"
"(-0.4331008906, 4.2855452766, -8.0901332106, 29.700000000000003, -25.8, 44.800000000000004)","(0.7578125, -0.09375, 0.5)","(22.927824826428633, 52.239671565709756)"
"(-0.4163511324, 4.2927237444, -8.106882968799999, 29.6, -27.0, 45.800000000000004)","(0.4609375, -0.3515625, 0.59375)","(22.91447318226902, 52.225935930894494)"
"(-0.4283152454, 4.2879380992, -8.0853475654, 30.3, -27.200000000000003, 45.800000000000004)","(0.40625, 0.1171875, 0.4375)","(22.927824826428633, 52.2030432062024)"
"(-0.44027935839999993, 4.295116567, -8.1164542592, 30.0, -27.400000000000002, 45.1)","(0.21875, -0.2421875, 0.3828125)","(22.901121538109408, 52.18472902644873)"
